"","churn_decision","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges"
"4052","No","Female","No","Yes","No",72,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Two year","Yes","Credit card (automatic)",97.7,6869.7
"4053","Yes","Female","Yes","No","No",30,"No","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",40.3,1172.95
"4054","No","Male","Yes","No","No",11,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",60.25,662.95
"4055","No","Female","Yes","No","No",34,"No","No","DSL","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",56.25,1765.95
"4056","No","Male","No","No","No",54,"No","No","DSL","Yes","Yes","No","No","No","Yes","Two year","No","Bank transfer (automatic)",46.2,2431.95
"4057","Yes","Female","No","No","No",3,"No","No","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",50.6,155.35
"4058","No","Female","No","Yes","Yes",72,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",24.9,1859.2
"4059","Yes","Female","No","Yes","Yes",40,"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","No","Month-to-month","Yes","Electronic check",84.85,3303.05
"4060","Yes","Female","No","Yes","Yes",2,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","No","Mailed check",65.7,134.35
"4061","No","Male","No","Yes","Yes",54,"Yes","Yes","DSL","No","No","Yes","No","No","Yes","Two year","No","Credit card (automatic)",63.35,3409.1
"4062","No","Female","No","No","No",14,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",50.1,709.5
"4063","Yes","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70.5,70.5
"4064","Yes","Female","No","No","No",10,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",94.85,953.45
"4065","No","Female","No","No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",50.15,50.15
"4066","Yes","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.75,19.75
"4067","No","Male","No","No","No",56,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Bank transfer (automatic)",64.65,3665.55
"4068","No","Female","No","Yes","No",68,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",79.6,5515.8
"4069","No","Female","No","Yes","Yes",14,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Mailed check",19.5,272
"4070","No","Male","No","Yes","Yes",68,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Electronic check",99.55,6668
"4071","No","Male","Yes","Yes","No",55,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74,4052.4
"4072","No","Female","No","No","No",16,"No","No","DSL","Yes","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",38.9,664.4
"4073","No","Male","Yes","No","No",9,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",79.55,718.55
"4074","Yes","Male","No","Yes","Yes",14,"Yes","No","DSL","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",65.45,937.6
"4075","Yes","Male","Yes","Yes","No",58,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.7,5812.6
"4076","No","Male","No","No","No",53,"No","No","DSL","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",46.3,2546.85
"4077","No","Male","No","Yes","No",70,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","No","Two year","Yes","Credit card (automatic)",99.35,6944.5
"4078","No","Female","Yes","Yes","Yes",14,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.8,1346.3
"4079","Yes","Male","No","Yes","Yes",22,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","No","One year","Yes","Bank transfer (automatic)",67.5,1544.05
"4080","No","Female","No","Yes","No",10,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",78.15,765.15
"4081","No","Female","No","Yes","Yes",29,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",26.1,692.55
"4082","Yes","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.6,69.6
"4083","Yes","Male","No","Yes","No",49,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","No","Electronic check",84.35,4059.35
"4084","Yes","Female","Yes","Yes","No",68,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.2,6851.65
"4085","Yes","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Electronic check",78.05,78.05
"4086","No","Female","No","No","No",30,"No","No","DSL","No","No","No","Yes","No","Yes","One year","Yes","Credit card (automatic)",40.35,1187.05
"4087","No","Female","No","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",79.2,5401.9
"4088","No","Female","No","No","No",10,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",20.9,247
"4089","Yes","Male","No","No","No",7,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",73.6,520
"4090","Yes","Female","No","No","No",9,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.75,706.6
"4091","No","Female","No","No","Yes",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",49.9,49.9
"4092","No","Female","No","No","No",20,"Yes","Yes","DSL","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",68.9,1370.35
"4093","No","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",20.25,20.25
"4094","No","Female","No","No","No",29,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",76,2215.25
"4095","No","Male","No","No","No",1,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",74,74
"4096","No","Male","No","No","No",3,"Yes","No","Fiber optic","Yes","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",82.3,214.4
"4097","No","Female","No","No","No",20,"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",89.4,1871.15
"4098","No","Male","No","No","Yes",64,"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.15,6171.2
"4099","Yes","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",20.2,20.2
"4100","No","Female","No","No","No",6,"No","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",29.45,161.45
"4101","No","Male","No","Yes","No",50,"Yes","No","No","No","No","No","No","No","No","Two year","No","Electronic check",19.8,1013.2
"4102","No","Male","No","No","No",6,"Yes","No","DSL","Yes","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",59.15,336.7
"4103","No","Male","No","Yes","Yes",7,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",44.75,333.65
"4104","No","Male","No","Yes","Yes",72,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Two year","Yes","Credit card (automatic)",90.8,6511.8
"4105","No","Male","No","Yes","No",8,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",49.55,393.45
"4106","No","Female","No","Yes","Yes",67,"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","Yes","Two year","No","Credit card (automatic)",106.7,7009.5
"4107","Yes","Female","Yes","Yes","No",24,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",93.55,2264.05
"4108","No","Female","No","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","Yes","Two year","Yes","Credit card (automatic)",94.45,6921.7
"4109","No","Male","No","Yes","Yes",33,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Bank transfer (automatic)",19.45,600.25
"4110","Yes","Male","No","No","No",2,"No","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",25.05,56.35
"4111","No","Male","No","Yes","No",70,"Yes","No","DSL","Yes","Yes","No","Yes","No","Yes","Two year","No","Mailed check",67.95,4664.15
"4112","No","Female","No","No","No",22,"Yes","No","DSL","No","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",65.25,1441.8
"4113","No","Female","No","No","No",59,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",99.45,5623.7
"4114","No","Male","No","No","No",36,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",20.35,695.85
"4115","No","Female","No","Yes","Yes",51,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.95,1028.75
"4116","No","Male","No","Yes","No",53,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",77.4,4155.95
"4117","No","Female","No","Yes","Yes",20,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",19.7,395.6
"4118","No","Male","No","Yes","No",63,"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",99.7,6330.4
"4119","No","Female","No","No","No",40,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","No","Credit card (automatic)",74.8,2971.7
"4120","No","Male","No","No","No",35,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Mailed check",19.15,638
"4121","No","Male","No","Yes","Yes",26,"Yes","No","Fiber optic","No","No","No","No","No","Yes","One year","No","Bank transfer (automatic)",78.95,2034.25
"4122","Yes","Male","Yes","Yes","No",27,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",95.55,2510.2
"4123","No","Male","No","No","Yes",53,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","One year","No","Credit card (automatic)",62.85,3419.5
"4124","No","Male","Yes","Yes","No",34,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",71.55,2427.35
"4125","No","Female","Yes","Yes","No",19,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.95,1760.25
"4126","No","Male","No","Yes","No",43,"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",86.1,3551.65
"4127","No","Male","No","Yes","Yes",6,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.55,122.9
"4128","No","Male","No","No","Yes",56,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Mailed check",24.8,1424.2
"4129","Yes","Male","No","No","No",57,"No","No","DSL","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",39.3,2111.45
"4130","No","Male","No","Yes","Yes",34,"Yes","No","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Mailed check",84.05,2909.95
"4131","No","Female","No","No","No",10,"No","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","No","Electronic check",36.25,374
"4132","Yes","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",20.25,20.25
"4133","Yes","Female","No","No","No",13,"No","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",23.9,300.8
"4134","No","Male","No","No","No",56,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","No","Electronic check",98.6,5581.05
"4135","No","Female","No","Yes","No",55,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",103.65,5676.65
"4136","No","Female","No","Yes","Yes",36,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",92.9,3379.25
"4137","No","Male","No","Yes","No",47,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",19.9,942.95
"4138","No","Female","No","Yes","Yes",12,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",20.1,232.4
"4139","Yes","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",85.45,85.45
"4140","No","Male","Yes","No","No",24,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",80.5,2088.45
"4141","Yes","Female","No","No","No",63,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","One year","No","Bank transfer (automatic)",99.9,6137
"4142","No","Female","Yes","No","No",35,"No","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",39.85,1434.6
"4143","No","Female","No","No","No",67,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","One year","No","Credit card (automatic)",60.5,3870
"4144","Yes","Male","No","No","No",25,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.8,2043.45
"4145","No","Male","No","No","No",21,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Month-to-month","No","Mailed check",103.85,2215
"4146","No","Female","No","No","No",13,"Yes","No","DSL","Yes","Yes","No","Yes","No","Yes","Month-to-month","No","Bank transfer (automatic)",67.8,842.25
"4147","Yes","Male","No","Yes","No",35,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.2,2576.2
"4148","No","Male","Yes","Yes","No",71,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",24.85,1901
"4149","No","Female","No","No","No",29,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",19.35,601.6
"4150","Yes","Male","No","Yes","No",71,"No","No","DSL","No","Yes","No","No","Yes","Yes","Two year","No","Electronic check",49.35,3515.25
"4151","No","Male","Yes","Yes","No",7,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",89,605.45
"4152","No","Female","Yes","No","No",57,"No","No","DSL","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",55,3094.05
"4153","No","Male","No","Yes","No",65,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","Yes","Two year","No","Bank transfer (automatic)",76.15,4929.55
"4154","No","Male","No","No","No",27,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.3,595.05
"4155","Yes","Male","No","No","No",6,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.9,469.8
"4156","No","Female","Yes","No","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",117.35,8436.25
"4157","No","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",19.75,19.75
"4158","No","Male","No","No","No",11,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",45.2,492
"4159","No","Male","No","Yes","Yes",39,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",25.2,987.95
"4160","No","Female","Yes","No","No",59,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",89.75,5496.9
"4161","No","Male","No","No","No",26,"Yes","No","DSL","Yes","No","No","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",75,1908.35
"4162","No","Male","Yes","No","No",2,"Yes","No","DSL","No","No","Yes","No","No","No","Month-to-month","No","Mailed check",49.95,107.1
"4163","No","Female","No","Yes","Yes",72,"No","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",65.7,4575.35
"4164","No","Male","No","Yes","No",65,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","One year","No","Credit card (automatic)",67.05,4309.55
"4165","No","Male","No","Yes","Yes",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",110.9,7922.75
"4166","No","Male","No","No","No",6,"Yes","Yes","Fiber optic","No","No","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",87.95,522.35
"4167","No","Male","Yes","No","No",32,"Yes","No","No","No","No","No","No","No","No","One year","No","Credit card (automatic)",19.8,587.7
"4168","No","Female","No","Yes","No",50,"Yes","Yes","DSL","No","No","Yes","No","Yes","Yes","One year","No","Bank transfer (automatic)",75.7,3876.2
"4169","No","Male","No","Yes","No",61,"No","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",62.15,3778.85
"4170","Yes","Female","No","No","No",15,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.25,1457.25
"4171","No","Male","No","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",115.15,8349.45
"4172","Yes","Male","No","No","No",9,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",18.95,185.6
"4173","No","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.5,19.5
"4174","No","Female","No","No","No",12,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",86.55,1066.9
"4175","Yes","Female","No","No","No",37,"No","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Credit card (automatic)",28.6,973.55
"4176","No","Male","No","Yes","Yes",61,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.4,1226.45
"4177","No","Male","No","Yes","Yes",18,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",19.8,342.3
"4178","No","Male","No","No","Yes",21,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",45.65,985.05
"4179","No","Male","No","Yes","Yes",68,"No","No","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Mailed check",56.4,3948.45
"4180","No","Male","Yes","No","No",12,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",73.3,828.05
"4181","Yes","Female","Yes","No","No",2,"No","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",24.35,41.85
"4182","No","Female","No","Yes","No",62,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.35,6164.7
"4183","Yes","Female","Yes","No","No",29,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","No","Electronic check",98.65,2862.75
"4184","No","Male","No","No","Yes",1,"No","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","No","Mailed check",33.6,33.6
"4185","Yes","Male","Yes","Yes","No",5,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",79.9,343.95
"4186","No","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",20.7,20.7
"4187","No","Male","No","No","Yes",62,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",104.05,6590.5
"4188","No","Female","No","Yes","Yes",36,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",20.25,717.95
"4189","Yes","Female","Yes","No","No",28,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",103.3,2890.65
"4190","No","Female","No","Yes","Yes",69,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","One year","No","Credit card (automatic)",73.7,4885.85
"4191","Yes","Female","No","Yes","No",11,"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",96.2,1222.05
"4192","No","Female","No","Yes","No",63,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",108.75,6871.7
"4193","No","Male","No","No","No",23,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",20.15,405.6
"4194","No","Male","No","No","No",10,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",19.75,208.25
"4195","No","Female","No","Yes","No",71,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",25.95,1801.9
"4196","No","Female","Yes","No","No",45,"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",70.05,3062.45
"4197","No","Female","No","Yes","Yes",70,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",24.05,1764.75
"4198","No","Female","No","No","Yes",22,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.75,1816.75
"4199","No","Female","No","Yes","Yes",52,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",23.05,1255.1
"4200","Yes","Male","No","Yes","No",55,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",104.15,5743.05
"4201","No","Female","No","No","No",65,"No","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",59.95,3921.1
"4202","No","Female","No","Yes","Yes",72,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",19.55,1463.45
"4203","No","Male","No","Yes","No",10,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",19.6,189.45
"4204","No","Female","No","No","Yes",7,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.05,96.8
"4205","No","Male","Yes","No","No",5,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.55,408.5
"4206","No","Female","No","Yes","Yes",24,"Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",78.6,1846.65
"4207","No","Female","No","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",116.8,8456.75
"4208","No","Male","No","No","No",21,"No","No","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Mailed check",43.55,1011.5
"4209","No","Male","No","Yes","No",69,"No","No","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",60.8,4263.4
"4210","No","Male","No","Yes","Yes",44,"Yes","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",54.9,2549.1
"4211","No","Female","Yes","Yes","Yes",61,"Yes","Yes","DSL","No","No","Yes","No","Yes","No","One year","Yes","Electronic check",65.2,3965.05
"4212","Yes","Male","Yes","No","No",24,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",102.95,2496.7
"4213","Yes","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",90.6,90.6
"4214","Yes","Female","No","No","No",6,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",50.8,288.05
"4215","Yes","Male","No","No","No",4,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",90.05,368.1
"4216","No","Male","No","Yes","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",108.2,7840.6
"4217","No","Male","No","No","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",92,6632.75
"4218","No","Male","Yes","Yes","No",14,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.1,1013.35
"4219","No","Male","No","No","No",7,"Yes","Yes","No","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",25.05,152.95
"4220","No","Female","No","No","No",48,"Yes","No","Fiber optic","No","Yes","No","No","No","No","One year","No","Electronic check",75.15,3772.65
"4221","No","Male","No","Yes","Yes",55,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.5,1026.35
"4222","No","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",19.3,19.3
"4223","No","Male","No","No","No",45,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",112.2,5031.85
"4224","No","Male","No","No","No",3,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.3,220.4
"4225","No","Female","No","Yes","No",71,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.6,1416.5
"4226","No","Male","No","Yes","No",8,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.25,158.35
"4227","Yes","Female","No","Yes","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.85,256.6
"4228","No","Male","No","Yes","Yes",69,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",80.65,5542.55
"4229","Yes","Male","No","Yes","Yes",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",68.5,68.5
"4230","No","Female","Yes","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",115.75,8443.7
"4231","Yes","Male","No","No","No",11,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",73.5,791.75
"4232","No","Male","No","No","No",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","No","Bank transfer (automatic)",80.6,5708.2
"4233","Yes","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",69.95,69.95
"4234","No","Female","No","Yes","No",33,"No","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",59.55,2016.3
"4235","No","Female","No","No","No",16,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.05,326.65
"4236","No","Female","Yes","Yes","No",56,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","One year","No","Electronic check",95.65,5471.75
"4237","No","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",19.95,19.95
"4238","Yes","Male","No","No","No",5,"Yes","No","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",70.05,346.4
"4239","No","Male","No","Yes","Yes",57,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.4,1061.6
"4240","No","Male","No","Yes","Yes",56,"No","No","DSL","No","Yes","Yes","No","No","No","One year","Yes","Credit card (automatic)",36.1,1971.5
"4241","Yes","Male","No","No","No",8,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",94,773.65
